Tags,Meaning
windows-store-apps,"This refers to Windows 8 and Windows 8.1 apps only. Use [Windows-10-Universal] for Windows apps that target Windows 10. Use [winrt-xaml] for Windows XAML-related questions.

Windows Store apps (formerly Metro-style applications) are built on the Windows Runtime (WinRT) and are available on the Windows Store. They target Windows 8 and Windows RT using .NET for Windows Store Apps or html/css and are immersive full-screen applications."
styles,"DO NOT USE THIS TAG. This tag does not currently have a single, well-defined meaning. It is often used in place of, or in conjunction with, [css]. It is also used on questions about the appearance of user interfaces and questions about source code formatting."
mule,"Mule is a lightweight Java-based enterprise service bus (ESB) and integration platform that allows developers to connect applications together quickly and easily, enabling them to exchange data. Mule enables easy integration of existing systems, regardless of the different technologies that the applications use, including JMS, Web Services, JDBC, HTTP, and more."
ios-webkit-debug-proxy,
rationale,
pcf,Programmable Command Formats (PCFs) is an IBM technology used for communicating with IBM MQ queue managers.
n-dimensional,n-dimensional involves  computation in higher dimensions
tizen-web-app,"Tizen SDK can be used to create interactive Web Applications for Mobile,  Wearable, Television."
normal-distribution,"The normal distribution is an assumption of many parametric statistical tests, and is typically associated with a Gaussian distribution, often with mean=0 and standard deviation=1.  The &quot;bell curve&quot; is the visual, intuitive model for this distribution.  Gaussian distributions are associated with the function: f(x) = [1/(σ√2π)] e^(-[(x-μ)^2]/(2σ^2 )) "
iwyu,
codesignkey,
seekbar,"Seek bar is a UI control analogous to a slider. In Android, it is an extension of ProgressBar with a draggable thumb."
delphi-10.4-sydney,Delphi 10.4 Sydney is a specific version of Delphi released in May 2020.
php-7.4,For questions specific to the usage and features of version 7.4 of PHP. When using this tag also include the more generic [php] tag.
use-context,useContext is a React hook for managing global state through the Context API.
python-os,The Python os module provides a portable way of using operating system dependent functionality.  Use this tag for questions about using the &quot;os&quot; module.
taskmanager,Task Manager is a system monitor that provides limited information about running applications. 
amazon-s3,"Amazon S3 (simple storage service) is an online object storage service from Amazon Web Services. QUESTIONS MUST BE ABOUT PROGRAMMING. Questions about general S3 support, functionality, configuration, etc. are OFF-TOPIC."
memcached,"Memcached is a simple distributed object cache that caches information in memory, and can be used to improve the performance of dynamic web applications by reducing access time and database load.  "
usbserial,This tag is used for software related questions about using USB-to-serial Bridges and Adapters.  Hardware adapters attach a peripheral with a DB-9 or DB-25 connector to a USB connector on a PC or other host. Software or virtual adapters are drivers in the host which create a COM port interface to a USB connection allowing software to open the virtual COM port to a device attached to the USB connector.
netcore.autoregisterdi,
maven-wrapper,Maven Wrapper is a CLI script to support Maven builds with defined versions and without requiring systemwide installation.
word-web-addins,
